timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
732,13025,16,8,7.9957,2,1,0.00255214
732,13027,9,6,6.05173,3,1,0.00125021
732,13029,11,7,6.55021,3,1,0.00125021
733,12218,3,7,6.54285,4,1,0.00117942
733,13043,6,14,7.1324,2,1,0.00255674
733,12179,2,5,5.1111,4,1,0.00117943
733,12181,1,5,4.56641,4,1,0.00117943
733,13045,4,8,7.64659,4,1,0.00117936
733,12183,3,6,6.45056,4,1,0.00117943
733,13047,6,5,5.34089,3,1,0.00125233
733,13049,4,12,5.90959,3,1,0.00125233
733,13051,4,11,5.45914,2,1,0.00255674
733,13053,8,16,7.80892,3,1,0.00125233
733,13055,1,8,4.0652,2,1,0.00255674
733,13057,3,5,4.54893,2,1,0.00255674
733,13059,1,5,4.62672,4,1,0.00117936
733,13061,2,9,4.51916,2,1,0.00255674
733,13063,16,8,7.9957,2,1,0.00255674
733,13065,9,6,6.05173,3,1,0.00125233
733,13067,11,7,6.55021,3,1,0.00125233
734,12188,3,7,6.54285,4,1,0.00118103
734,13082,6,14,7.1324,2,1,0.00256135
734,12221,4,8,7.64659,4,1,0.00118102
734,12223,1,5,4.62672,4,1,0.00118102
734,13084,6,5,5.34089,3,1,0.00125445
734,13086,2,5,5.1111,4,1,0.00118097
734,13088,4,12,5.90959,3,1,0.00125445
734,13090,4,11,5.45914,2,1,0.00256135
734,13092,8,16,7.80892,3,1,0.00125445
734,13094,1,5,4.56641,4,1,0.00118097
734,13096,1,8,4.0652,2,1,0.00256135
734,13098,3,5,4.54893,2,1,0.00256135
734,13100,2,9,4.51916,2,1,0.00256135
734,13102,16,8,7.9957,2,1,0.00256135
734,13104,9,6,6.05173,3,1,0.00125445
734,13106,3,6,6.45056,4,1,0.00118097
734,13108,11,7,6.55021,3,1,0.00125445
735,12191,4,8,7.64659,4,1,0.00118263
735,12227,2,5,5.1111,4,1,0.00118263
735,13124,6,14,7.1324,2,1,0.00256596
735,12193,1,5,4.62672,4,1,0.00118263
735,12229,1,5,4.56641,4,1,0.00118263
735,13126,6,5,5.34089,3,1,0.00125658
735,12231,3,6,6.45056,4,1,0.00118263
735,13128,4,12,5.90959,3,1,0.00125658
735,13130,4,11,5.45914,2,1,0.00256596
735,13132,8,16,7.80892,3,1,0.00125658
735,13134,3,7,6.54285,4,1,0.00118257
735,13136,1,8,4.0652,2,1,0.00256596
735,13138,3,5,4.54893,2,1,0.00256596
735,13140,2,9,4.51916,2,1,0.00256596
735,13142,16,8,7.9957,2,1,0.00256596
735,13144,9,6,6.05173,3,1,0.00125658
735,13146,11,7,6.55021,3,1,0.00125658
736,12197,2,5,5.1111,4,1,0.00118424
736,12236,3,7,6.54285,4,1,0.00118423
