timestamp,task_id,num_vms,cpu_req,mem_req,chosen_cell,chosen_hw_type,accepted,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,processing_time_sec
604,10236,9,6,6.05173,0,1,1,0.255418,0.029155,372291,3.1067e+06,24616.5,85926,0,0
604,10238,3,6,6.45056,0,1,1,0.036472,0.00557535,481764,3.18216e+06,24821.6,97188,0,0
604,10240,11,7,6.55021,0,1,1,0.255572,0.0291775,372214,3.10663e+06,24616.1,85915,0,0
605,10253,6,14,7.1324,0,1,1,0.25574,0.0291909,372130,3.10659e+06,24616,85909,0,0
605,10286,4,8,7.64659,0,1,1,0.036966,0.00564576,481517,3.18193e+06,24819.3,97162,0,0
605,10288,6,5,5.34089,0,1,1,0.248528,0.0284196,375736,3.10906e+06,24624.9,86162,0,0
605,10255,2,5,5.1111,0,1,1,0.036492,0.00557855,481754,3.18215e+06,24821.5,97186,0,0
605,10290,3,7,6.54285,0,1,1,0.037008,0.00565189,481496,3.18191e+06,24819.1,97159,0,0
605,10257,4,12,5.90959,0,1,1,0.255836,0.0291983,372082,3.10657e+06,24615.9,85905,0,0
605,10292,1,8,4.0652,0,1,1,0.248544,0.0284209,375728,3.10905e+06,24624.9,86161,0,0
605,10259,4,11,5.45914,0,1,1,0.255924,0.0292051,372038,3.10654e+06,24615.9,85901,0,0
605,10294,2,9,4.51916,0,1,1,0.24858,0.0284237,375710,3.10904e+06,24624.9,86159,0,0
605,10261,8,16,7.80892,0,1,1,0.25618,0.0292246,371910,3.10648e+06,24615.7,85893,0,0
605,10296,16,8,7.9957,0,1,1,0.248836,0.0284637,375582,3.10892e+06,24624.2,86143,0,0
605,10263,1,5,4.56641,0,1,1,0.036502,0.00557997,481749,3.18214e+06,24821.4,97185,0,0
605,10298,3,6,6.45056,0,1,1,0.037044,0.00565794,481478,3.18189e+06,24818.9,97156,0,0
605,10265,3,5,4.54893,0,1,1,0.25621,0.0292289,371895,3.10647e+06,24615.7,85890,0,0
605,10267,1,5,4.62672,0,1,1,0.036512,0.00558142,481744,3.18214e+06,24821.4,97184,0,0
605,10269,9,6,6.05173,0,1,1,0.256318,0.0292459,371841,3.10641e+06,24615.4,85881,0,0
605,10271,11,7,6.55021,0,1,1,0.256472,0.0292684,371764,3.10634e+06,24615,85870,0,0
606,10283,4,8,7.64659,0,1,1,0.036576,0.00559098,481712,3.18211e+06,24821.1,97180,0,0
606,10307,6,14,7.1324,0,1,1,0.249004,0.028477,375498,3.10887e+06,24624.1,86137,0,0
